1568.25000000,1569.54000000,1566.03000000,1569.26000000,1326.94860000,1297784.070423,782078.749835,20909.95000000
1569.26000000,1569.26000000,1566.85000000,1568.92000000,482.40860000,347806.476741,408547.124392,20912.60000000
1568.91000000,1570.73000000,1568.24000000,1570.08000000,593.42080000,405507.408803,525924.111411,20929.41000000
1570.09000000,1570.86000000,1568.47000000,1570.86000000,515.21420000,485913.280786,322925.027426,20946.64000000
1570.85000000,1571.01000000,1567.78000000,1568.63000000,756.48550000,506755.028448,680414.997717,20901.63000000
1568.63000000,1571.17000000,1568.63000000,1570.09000000,515.95660000,457959.615005,352214.036171,20908.01000000
1570.08000000,1572.25000000,1569.39000000,1572.21000000,518.33110000,293698.827660,520517.361176,20917.71000000
1572.20000000,1573.66000000,1571.74000000,1573.64000000,1154.91610000,908224.389201,908170.723359,20921.79000000
1573.63000000,1574.96000000,1573.52000000,1574.95000000,834.48960000,595399.804688,718330.012094,20933.84000000
1574.96000000,1575.83000000,1574.94000000,1575.82000000,479.39190000,187543.122971,567646.965298,20937.95000000
1575.83000000,1576.25000000,1574.08000000,1574.51000000,1012.88400000,1253809.289910,341460.981076,20915.96000000
1574.52000000,1575.04000000,1573.17000000,1573.17000000,251.53340000,279737.250701,116038.118170,20905.74000000
1573.17000000,1574.10000000,1573.06000000,1573.06000000,177.89340000,140920.923147,138968.222371,20900.51000000
1573.06000000,1574.07000000,1573.00000000,1573.04000000,417.69470000,262593.991195,394633.157208,20905.18000000
1573.04000000,1574.17000000,1573.03000000,1574.16000000,133.14800000,27152.122182,182365.374220,20912.53000000
1574.16000000,1575.00000000,1573.39000000,1574.51000000,614.96420000,382735.324589,585169.730416,20909.21000000
1574.50000000,1576.38000000,1573.58000000,1576.02000000,1052.62540000,344036.798475,1313994.436315,20915.05000000
1576.03000000,1580.76000000,1575.01000000,1580.50000000,1697.96670000,1005993.857781,1672710.763008,20946.36000000
1580.50000000,1580.76000000,1578.48000000,1578.63000000,548.63380000,475252.639117,391316.144098,20942.52000000
1578.63000000,1578.64000000,1577.81000000,1577.82000000,242.02480000,169373.741293,212570.839032,20936.16000000
1577.81000000,1578.05000000,1576.37000000,1576.90000000,368.23240000,349638.119592,231065.492291,20932.96000000
1576.89000000,1578.33000000,1576.79000000,1578.23000000,424.61700000,308045.476652,361724.485667,20935.74000000
1578.23000000,1578.74000000,1577.00000000,1577.01000000,195.29950000,170082.307182,138049.356989,20925.59000000
1577.01000000,1577.69000000,1576.97000000,1577.22000000,194.04750000,148879.377677,157186.309609,20931.32000000
1577.22000000,1578.34000000,1577.21000000,1577.33000000,312.37650000,112115.547186,380679.462802,20937.95000000
1577.32000000,1577.39000000,1575.79000000,1576.46000000,255.45790000,175477.137978,227222.745011,20925.41000000
1576.46000000,1576.47000000,1575.65000000,1575.67000000,67.28080000,80520.824201,25505.216497,20917.13000000
1575.67000000,1575.88000000,1575.44000000,1575.80000000,187.69220000,259061.205676,36690.694105,20922.91000000
1575.80000000,1575.99000000,1575.06000000,1575.81000000,128.24560000,77005.315811,125065.825552,20918.52000000
1575.82000000,1576.82000000,1575.75000000,1576.45000000,311.19750000,175287.779559,315254.613774,20919.01000000
1576.44000000,1576.86000000,1574.81000000,1576.16000000,376.95950000,445641.090861,148311.597402,20915.89000000
1576.16000000,1576.17000000,1575.14000000,1575.15000000,143.74990000,127332.365208,99127.237839,20905.07000000
1575.14000000,1575.56000000,1575.10000000,1575.33000000,93.50280000,105677.551276,41612.905326,20906.21000000
1575.33000000,1575.80000000,1574.68000000,1575.59000000,232.16810000,167345.241256,198352.391248,20910.88000000
1575.59000000,1576.28000000,1575.56000000,1576.22000000,132.76720000,122563.438606,86662.638795,20913.96000000
1576.21000000,1576.22000000,1570.25000000,1571.98000000,1952.29610000,1940653.428122,1129076.075685,20902.83000000
1571.98000000,1574.37000000,1571.69000000,1574.36000000,324.21400000,218639.412069,291383.323066,20915.04000000
1574.36000000,1575.84000000,1574.09000000,1575.26000000,356.81030000,324132.865454,237919.778440,20923.92000000
1575.26000000,1575.38000000,1574.27000000,1575.38000000,285.61680000,160206.883321,289606.038076,20925.05000000
1575.37000000,1575.75000000,1574.85000000,1574.98000000,191.35240000,187901.467232,113533.853534,20923.34000000
1574.97000000,1575.14000000,1574.48000000,1574.80000000,234.57900000,257930.271938,111502.310308,20922.11000000
1574.81000000,1574.81000000,1571.65000000,1571.90000000,399.31080000,488513.496934,139573.661830,20904.79000000
1571.91000000,1573.56000000,1571.84000000,1573.14000000,282.27250000,205524.390611,238267.041540,20913.04000000
1573.14000000,1574.14000000,1573.14000000,1574.02000000,121.18850000,61307.752425,129439.425594,20923.87000000
